Product category,Product name,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb
A,A 13800 BRON S1 200KG DRUM ST,,,,6840,,6364,9128,,,,,,,,,,,,,,,,,
A,A 20700 WHIT S1 200KG DRUM ST,,,,12005,16297,16245,43750,,35783,33260,10363,8835,7460,16412,17158,17158,17158,17904,19396,20888,20142,18650,17904,15666
A,A 20700 TRAN S1 200KG DRUM ST,"55,038","34,045","5,738",5228,56973,,36339,40692,23464,25695,19764,9430,58800,102165,93345,56595,58065,60270,58065,63210,22050,49245,47775,41895
A,A 20700 BLAC S1 200KG DRUM ST,,,"1,475",4504,4580,1465,3697,6363,2321,5248,757,1600,4434,3695,3695,2956,3695,3695,2956,4434,3695,4434,2956,2956
A,A 20930 WHIT S1F 200KG DRUM ST,"19,346","19,188",,23238,14088,7385,48803,25799,26579,19211,23825,16291,60264,29760,27528,24552,27528,27528,25296,25296,25296,28272,27528,24552
A,A 20930 TRAN S1F 200KG DRUM ST,"20,456","9,365",,6485,24630,18012,26215,27414,6549,31564,11846,5910,76232,31519,27121,25655,29320,27854,26388,27121,20524,21257,21257,18325
A,A 20240 TRAN S1 ZJG BARR 200KG,,,,14324,7505,15035,17189,20367,9697,8984,9808,11948,9750,11250,9000,9000,10500,9750,9750,9750,9750,12750,12000,10500
A,A 20470 WHIT S7 ZJG BARR 270KG,,,,,,84770,47150,59335,26627,74712,25633,6251,83511,41240,41240,41240,42271,29899,41240,44333,,49488,,
A,A 20240 BLACK S1 ZJG BARR 200KG,,,,1475,813,1613,3780,1711,882,4187,905,,3016,754,1508,1508,1508,1508,754,1508,1508,1508,754,1508
A,A 20240 GREY S2 ZJG BARR 200KG,,"1,493",,1492,,1533,2437,1692,760,2957,,,2274,1516,758,,1516,758,758,758,1516,758,758,1516
